KK,Repeated Random R,Repeated Random P,Hill Climbing R,Hill Climbing P,Simulated Annealing R,Simulated Annealing P
92468,126767794,340,192763984,696,40894316,364
67336,576168954,168,51437702,730,41436818,136
386590,51334430,26,257323932,512,132055062,186
44376,39937528,292,111233184,408,482838262,42
43404,14767428,24,106050972,232,146761806,224
4773,29101283,1,1053263161,483,238159113,1979
685323,591427349,183,187749373,421,67587629,55
159703,3169689,245,271782181,53,38979105,601
118384,720881738,8,460355474,682,385550650,158
125768,344659834,44,321743746,688,16517560,332
91814,152180948,64,544223036,574,251018090,134
75352,315924360,30,740878158,416,981606876,206
584562,104704806,400,2084864,526,15529826,46
282627,301518893,161,68643519,409,517428657,71
93787,226703193,291,141474963,111,5485521,217
9353,74772903,335,150849079,1423,419158697,31
234769,454171193,221,225596129,1003,31068953,31
107000,62900010,350,58078076,1158,636062166,358
643448,142758952,8,122650148,558,72666022,460
167887,21939941,81,130416247,519,789114943,301
18833,496652521,221,214623647,453,165260553,189
22047,40347767,121,1273399013,49,499193463,347
8076,580036046,114,9671768,208,666986900,108
48193,11050617,167,465907959,689,28562841,125
155324,71648884,120,403402374,824,29221524,564
40600,638825052,36,4615402,268,1169465050,70
34801,116381983,39,36239955,543,67487995,117
37767,443882223,309,28883573,3263,102738995,183
467420,445971314,50,156378880,98,70279766,164
736825,319585073,129,85443211,511,74260525,59
117929,1185309299,331,901367949,35,522442917,419
556744,113609978,222,663760080,1028,178587600,250
82811,173870329,177,642811099,993,336841041,273
19491,75034761,103,768327447,1115,126868735,1
77468,216556444,316,75716328,426,160576888,22
1100,106433984,82,202636430,82,380721464,252
126661,37386413,217,511737345,235,53804937,455
213455,571636187,279,439425125,135,138682931,21
1214,686821004,124,94534658,70,490599160,40
784405,52548873,427,70242679,1021,29156967,1055
61858,355692892,238,15325588,288,111801460,6
730473,392055243,285,187834339,113,289063445,81
229368,629303700,178,96861678,1506,1021582262,38
78379,9678801,49,616778051,347,47950631,13
89000,683836354,300,182132136,148,655792064,612
24901,114405869,107,227156101,1755,484360413,187
43419,129413855,271,280115103,395,93769359,201
151337,6882309,5,685620899,987,574204267,277
148460,215414888,462,340729066,1662,1985738,528
66196,530343560,40,5158498,1242,78772590,200
