KK,Repeated Random R,Repeated Random P,Hill Climbing R,Hill Climbing P,Simulated Annealing R,Simulated Annealing P
0.000125444,1.623872832,11.35681696,1.225090542,6.028538108,3.052979883,17.42296544
0.000108932,1.682783669,11.90138635,1.213976845,6.881529886,3.279111401,17.98351452
0.000100714,1.809845047,15.2446573,1.477563789,7.191436139,3.621382542,18.45858327
9.86E-05,1.713083749,12.06631077,1.32833552,6.24342752,3.387740205,23.79862348
0.00025364,2.260940309,14.32151186,1.373149559,6.851687117,3.33729155,18.88177081
0.000120623,1.862253608,12.75396037,1.141700895,6.510517264,3.240346324,18.00311081
9.31E-05,1.700763149,12.17988853,1.31197808,6.660263299,3.270279026,18.09234138
0.000108981,1.644153428,12.05527485,1.275371873,6.691123492,3.337430508,18.16555839
0.000109027,1.764429918,13.26957756,1.412744506,7.792609477,3.724153661,17.96584015
0.000108449,1.919027379,13.52320707,1.282502473,6.493305306,3.174366357,19.02877416
0.00019762,1.844983735,14.13273028,1.146791022,6.466879861,3.338986507,18.05278487
9.80E-05,1.672450363,12.71352358,1.289098318,7.084528226,4.540587751,17.98818481
0.000104868,1.837003823,12.45674378,1.205982935,6.805524918,4.0153034,16.70758892
0.000110657,1.549400058,12.4958428,1.305696553,7.470372871,3.787269023,19.67768529
9.34E-05,1.629956659,12.84228201,1.243895971,6.170011318,3.345370981,19.1883042
9.31E-05,1.759977809,11.48390947,1.123734573,7.63799162,3.188150486,18.19872929
0.00012159,1.845156933,12.17484976,1.172783827,6.366872153,3.0841277,17.98971324
9.35E-05,1.685812585,12.09158165,1.572743516,6.773962723,3.108515495,19.19464742
0.000117764,2.165284664,15.77196484,1.214062778,6.535333615,3.234696143,20.83406443
0.000106653,1.863994993,11.98561455,1.069308462,6.083645221,3.184497524,16.77156419
9.95E-05,1.590664389,11.43870908,1.099619901,5.83495382,2.983501152,17.57712824
0.000103021,1.545877264,11.66029036,1.122469457,5.774146399,3.123840521,16.74498922
0.000166069,1.629451261,11.43983095,1.218790711,5.729545443,2.964241091,16.79700088
0.000144605,1.573584616,11.42677681,1.087461201,6.01803374,3.235558104,17.67627441
0.000100059,1.627007982,11.339064,1.204462261,6.686953058,3.371198739,17.97191595
0.000100368,1.570704623,12.16943872,1.087557395,5.972796157,3.016866835,17.21230102
0.000183564,1.717814212,12.12378243,1.187133721,6.220464541,3.146074115,17.37743844
0.000110586,1.600763958,11.76814795,1.244931542,6.104525181,2.919586426,17.1257142
0.000260197,1.782925841,12.2753257,1.328721237,6.5416778,3.015799737,17.97278892
9.17E-05,1.698764502,12.28712829,1.159250739,6.609618643,3.108011262,16.84957227
9.86E-05,1.597018026,12.00255484,1.104313701,6.107680775,3.108185763,17.21473688
0.000109339,1.628839274,11.84220963,1.142061142,6.877311222,3.48062916,19.38220519
0.000108676,1.78681059,12.56821417,1.179029428,7.114204518,3.539729524,20.37502717
0.000108131,1.768843667,12.25783393,1.100662039,7.278878571,3.550062789,20.57643967
9.84E-05,1.755176816,11.98163312,1.300184947,6.302414396,3.163826529,17.50760864
9.87E-05,1.688123492,12.0866454,1.285880441,6.499077773,3.426704477,18.41013126
9.88E-05,1.724081085,12.48395783,1.272231361,6.72651064,3.29729479,18.72910684
9.81E-05,1.832713508,12.7989857,1.501131447,12.02157128,4.902326965,23.65554353
0.000109418,1.877344144,15.12778072,1.408816301,6.934639485,3.656580744,19.14150884
0.000278,1.728705911,13.12792419,1.19317707,6.873771031,4.115624266,21.91666677
0.000125365,1.943038768,12.27216707,1.237560711,6.322319696,3.326057395,18.20438937
0.000108723,1.889632708,12.28911739,1.041528637,6.268061128,3.534756621,21.55915508
0.000117977,1.94753467,14.63766143,1.230253351,7.009756168,3.400085285,18.31856863
0.0001067,1.758910783,12.03925399,1.125622543,8.983113131,3.536175681,17.95015297
0.000118312,1.78050932,12.7418142,1.230173937,6.369375691,3.206275397,18.55740391
0.000221931,1.761132187,11.9868294,1.106063754,6.165276469,3.196453294,19.08968139
0.000108202,1.570591174,11.45932718,1.262222645,6.113421168,3.27029394,17.43402438
0.000100973,1.612835086,12.16749026,1.261523323,6.322862808,3.127081809,17.75478645
9.95E-05,1.704510646,11.70675161,1.082421781,6.169778957,3.175056317,18.02554973
9.25E-05,1.837385302,12.05626075,1.310223538,6.163388985,3.206269409,18.4478293
