,Repeated Random R,Repeated Random P,Hill Climbing R,Hill Climbing P,Simulated Annealing R,Simulated Annealing P
1,1.624,11.357,1.225,6.029,3.053,17.423
2,1.683,11.901,1.214,6.882,3.279,17.984
3,1.810,15.245,1.478,7.191,3.621,18.459
4,1.713,12.066,1.328,6.243,3.388,23.799
5,2.261,14.322,1.373,6.852,3.337,18.882
6,1.862,12.754,1.142,6.511,3.240,18.003
7,1.701,12.180,1.312,6.660,3.270,18.092
8,1.644,12.055,1.275,6.691,3.337,18.166
9,1.764,13.270,1.413,7.793,3.724,17.966
10,1.919,13.523,1.283,6.493,3.174,19.029
11,1.845,14.133,1.147,6.467,3.339,18.053
12,1.672,12.714,1.289,7.085,4.541,17.988
13,1.837,12.457,1.206,6.806,4.015,16.708
14,1.549,12.496,1.306,7.470,3.787,19.678
15,1.630,12.842,1.244,6.170,3.345,19.188
16,1.760,11.484,1.124,7.638,3.188,18.199
17,1.845,12.175,1.173,6.367,3.084,17.990
18,1.686,12.092,1.573,6.774,3.109,19.195
19,2.165,15.772,1.214,6.535,3.235,20.834
20,1.864,11.986,1.069,6.084,3.184,16.772
21,1.591,11.439,1.100,5.835,2.984,17.577
22,1.546,11.660,1.122,5.774,3.124,16.745
23,1.629,11.440,1.219,5.730,2.964,16.797
24,1.574,11.427,1.087,6.018,3.236,17.676
25,1.627,11.339,1.204,6.687,3.371,17.972
26,1.571,12.169,1.088,5.973,3.017,17.212
27,1.718,12.124,1.187,6.220,3.146,17.377
28,1.601,11.768,1.245,6.105,2.920,17.126
29,1.783,12.275,1.329,6.542,3.016,17.973
30,1.699,12.287,1.159,6.610,3.108,16.850
31,1.597,12.003,1.104,6.108,3.108,17.215
32,1.629,11.842,1.142,6.877,3.481,19.382
33,1.787,12.568,1.179,7.114,3.540,20.375
34,1.769,12.258,1.101,7.279,3.550,20.576
35,1.755,11.982,1.300,6.302,3.164,17.508
36,1.688,12.087,1.286,6.499,3.427,18.410
37,1.724,12.484,1.272,6.727,3.297,18.729
38,1.833,12.799,1.501,12.022,4.902,23.656
39,1.877,15.128,1.409,6.935,3.657,19.142
40,1.729,13.128,1.193,6.874,4.116,21.917
41,1.943,12.272,1.238,6.322,3.326,18.204
42,1.890,12.289,1.042,6.268,3.535,21.559
43,1.948,14.638,1.230,7.010,3.400,18.319
44,1.759,12.039,1.126,8.983,3.536,17.950
45,1.781,12.742,1.230,6.369,3.206,18.557
46,1.761,11.987,1.106,6.165,3.196,19.090
47,1.571,11.459,1.262,6.113,3.270,17.434
48,1.613,12.167,1.262,6.323,3.127,17.755
49,1.705,11.707,1.082,6.170,3.175,18.026
50,1.837,12.056,1.310,6.163,3.206,18.448
Average,1.747,12.488,1.230,6.697,3.367,18.559
